ID,Date,Day,Weather,Traffic,Commute_Mode,Duration,Distance,Speed,Occupancy,Temperature,Congestion_Level,Accidents,Transportation_Type,Public_Transport,Construction,Detours,Traffic_Lights,Train_Crossing,Departure_Time,Arrival_Time
187,2023-07-06,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
188,2023-07-07,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
189,2023-07-08,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
190,2023-07-09,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
191,2023-07-10,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
192,2023-07-11,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
193,2023-07-12,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
194,2023-07-13,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
195,2023-07-14,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
196,2023-07-15,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
197,2023-07-16,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
198,2023-07-17,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
199,2023-07-18,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
200,2023-07-19,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
